trade_code;trade_name;isin;id_market
KUBE;"Публичное акционерное общество ""Россети Кубань""";RU0009046767;1
KUZB;"Публичное акционерное общество Банк ""Кузнецкий""";RU000A0JSQ66;1
KZMS;"Публичное акционерное общество ""Краснокамский завод металлических сеток""";RU000A0JNHK2;1
KZOS;"Казанское публичное акционерное общество ""Органический синтез""";RU0009089825;1
LENT;"Международная компания публичное акционерное общество ""Лента""";RU000A102S15;1
LIFE;"Публичное акционерное общество ""Фармсинтез""";RU000A0JR514;1
LKOH;"Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""";RU0009024277;1
LNZL;"Ленское золотодобывающее публичное акционерное общество ""Лензолото""";RU000A0JP1N2;1
LPSB;"Открытое акционерное общество ""Липецкая энергосбытовая компания""";RU000A0D8MR7;1
LSNG;"Публичное акционерное общество ""Россети Ленэнерго""";RU0009034490;1
LSRG;"Публичное акционерное общество ""Группа ЛСР""";RU000A0JPFP0;1
LVHK;"Открытое акционерное общество ""Левенгук""";RU000A0JT7Y2;1
MAGE;"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""";RU0006758919;1
MAGN;"Публичное акционерное общество ""Магнитогорский металлургический комбинат""";RU0009084396;1
MERF;"Публичное акционерное общество ""МЕРИДИАН""";RU000A0JQ128;1
MFGS;"Публичное акционерное общество ""Славнефть - Мегионнефтегаз""";RU0009011126;1
MFON;"Публичное акционерное общество ""МегаФон""";RU000A0JS942;1
MGNT;"Публичное акционерное общество ""Магнит""";RU000A0JKQU8;1
MGNZ;"Открытое акционерное общество ""Соликамский магниевый завод""";RU0009100911;1
MGTS;"Публичное акционерное общество ""Московская городская телефонная сеть""";RU0009036461;1
MISB;"Публичное акционерное общество ""ТНС энерго Марий Эл""";RU000A0D8K33;1
MOEX;"Публичное акционерное общество ""Московская Биржа ММВБ-РТС""";RU000A0JR4A1;1
MORI;"Публичное акционерное общество ""Морион""";RU0009092431;1
MRKC;"Публичное акционерное общество ""Россети Центр""";RU000A0JPPL8;1
MRKK;"Публичное акционерное общество ""Россети Северный Кавказ""";RU000A0JPPQ7;1
MRKP;"Публичное акционерное общество ""Россети Центр и Приволжье""";RU000A0JPN96;1
MRKS;"Публичное акционерное общество ""Россети Сибирь""";RU000A0JPPF0;1
MRKU;"Открытое акционерное общество ""Межрегиональная распределительная сетевая компания Урала""";RU000A0JPPT1;1
MRKV;"Публичное акционерное общество ""Россети Волга""";RU000A0JPPN4;1
MRKY;"Публичное акционерное общество ""Россети Юг""";RU000A0JPPG8;1
MRKZ;"Публичное акционерное общество ""Россети Северо-Запад""";RU000A0JPPB9;1
MRSB;"Публичное акционерное общество ""Мордовская энергосбытовая компания""";RU000A0D9AJ7;1
MSNG;"Публичное акционерное общество энергетики и электрификации ""Мосэнерго""";RU0008958863;1
MSRS;"Публичное акционерное общество ""Россети Московский регион""";RU000A0ET7Y7;1
MSTT;"Публичное акционерное общество ""МОСТОТРЕСТ""";RU0009177331;1
MTLR;"Публичное акционерное общество ""Мечел""";RU000A0DKXV5;1
MTSS;"Публичное акционерное общество ""Мобильные ТелеСистемы""";RU0007775219;1
MVID;"Публичное акционерное общество ""М.видео""";RU000A0JPGA0;1
NAUK;"Публичное акционерное общество Научно-производственное объединение ""Наука""";RU000A0JRPX9;1
NFAZ;"Публичное акционерное общество ""НЕФАЗ""";RU0009115604;1
NKHP;"Публичное акционерное общество ""Новороссийский комбинат хлебопродуктов""";RU000A0BLWD7;1
NKNC;"Публичное Акционерное Общество ""Нижнекамскнефтехим""";RU0009100507;1
NKSH;"Публичное акционерное общество ""Нижнекамскшина""";RU0009100515;1
NLMK;"Публичное акционерное общество ""Новолипецкий металлургический комбинат""";RU0009046452;1
NMTP;"Публичное акционерное общество ""Новороссийский морской торговый порт""";RU0009084446;1
NNSB;"Публичное акционерное общество ""ТНС энерго Нижний Новгород""";RU000A0ET5A1;1
NOMP;"Публичное акционерное общество ""Новороссийское морское пароходство""";RU0009084453;1
NPOF;"Открытое акционерное общество ""Научно-производственное объединение ""Физика""";RU000A0JQ5X1;1
NSVZ;"Публичное акционерное общество ""Наука-Связь""";RU000A0JQLB6;1
NVTK;"публичное акционерное общество ""НОВАТЭК""";RU000A0DKVS5;1
ODVA;"Публичное акционерное общество ""Медиахолдинг""";RU000A0JPWV3;1
OGKB;"Публичное акционерное общество ""Вторая генерирующая компания оптового рынка электроэнергии""";RU000A0JNG55;1
ORUP;"Публичное акционерное общество ""ОР ГРУПП""";RU000A0JXKG3;1
PAZA;"Публичное акционерное общество ""Павловский автобус""";RU0009083240;1
PHOR;"Публичное акционерное общество ""ФосАгро""";RU000A0JRKT8;1
PIKK;"Публичное акционерное общество ""ПИК-специализированный застройщик""";RU000A0JP7J7;1
PLZL;"Публичное акционерное общество ""Полюс""";RU000A0JNAA8;1
PMSB;"Публичное акционерное общество ""Пермская энергосбытовая компания""";RU000A0ET123;1
POSI;"Публичное акционерное общество ""Группа Позитив""";RU000A103X66;1
PRFN;"Публичное акционерное общество ""Челябинский завод профилированного стального настила""";RU000A0JNXF9;1
PRMB;"акционерный коммерческий банк ""Приморье""  (публичное акционерное общество)";RU000A0DPNQ5;1
RASP;"Публичное акционерное общество ""Распадская""";RU000A0B90N8;1
RBCM;"Публичное акционерное общество ""Группа компаний РБК""";RU000A0JR6A6;1
RDRB;"""Российский акционерный коммерческий дорожный банк"" (публичное акционерное общество)";RU000A0JU6Q7;1
RENI;"Публичное акционерное общество ""Группа Ренессанс Страхование""";RU000A0ZZM04;1
RGSS;"Публичное акционерное общество Страховая Компания ""Росгосстрах""";RU0008010855;1
RKKE;"Публичное акционерное общество ""Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва""";RU0009095939;1
RNFT;"Публичное акционерное общество Нефтегазовая компания ""РуссНефть""";RU000A0JSE60;1
ROLO;"Публичное акционерное общество ""Русолово""";RU000A0JU1B0;1
ROSB;Публичное акционерное общество РОСБАНК;RU000A0HHK26;1
ROSN;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";RU000A0J2Q06;1
ROST;"Публичное акционерное общество ""РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ""";RU000A0JP922;1
RSTI;"Публичное акционерное общество ""Российские сети""";RU000A0JPVJ0;1
RTGZ;"Публичное акционерное общество ""Газпром газораспределение Ростов-на-Дону""";RU000A0JPG04;1
RTKM;"Публичное акционерное общество ""Ростелеком""";RU0008943394;1
RTSB;"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""";RU000A0D8PB4;1
RUAL;"Международная компания публичное акционерное общество ""Объединённая Компания ""РУСАЛ""""";RU000A1025V3;1
RUGR;"Публичное акционерное общество ""Русгрэйн Холдинг""";RU000A0JPNP4;1
RUSI;"Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ""";RU000A0JQ9W5;1
RZSB;"Публичное акционерное общество ""Рязанская энергетическая сбытовая компания""";RU000A0D9AF5;1
SAGO;"Публичное акционерное общество энергетики и электрификации ""Самараэнерго""";RU0009098255;1
SARE;"Публичное акционерное общество ""Саратовэнерго""";RU0009100754;1
SATR;"Публичное акционерное общество ""ОДК-Сатурн""";RU0007774998;1
SBER;"Публичное акционерное общество ""Сбербанк России""";RU0009029540;1
SELG;"Публичное акционерное общество ""Селигдар""";RU000A0JPR50;1
SFIN;"Публичное акционерное общество ""ЭсЭфАй""";RU000A0JVW89;1
SGZH;"Публичное акционерное общество Группа компаний ""Сегежа""";RU000A102XG9;1
SIBG;"Публичное акционерное общество ""Айс стим Рус""";RU000A0JVA36;1
SIBN;"Публичное акционерное общество ""Газпром нефть""";RU0009062467;1
SLEN;"Публичное акционерное общество энергетики и электрификации ""Сахалинэнерго""";RU0009280465;1
SMLT;"публичное акционерное общество ""Группа компаний ""Самолет""";RU000A0ZZG02;1
SNGS;"Публичное акционерное общество ""Сургутнефтегаз""";RU0008926258;1
SPBE;"Публичное акционерное общество ""СПБ Биржа""";RU000A0JQ9P9;1
STSB;"Публичное акционерное общество ""Ставропольэнергосбыт""";RU000A0ET1W4;1
SVAV;"Публичное акционерное общество ""СОЛЛЕРС Авто""";RU0006914488;1
SVET;"Публичное акционерное общество ""Светофор Групп""";RU000A100592;1
TASB;"Публичное акционерное общество ""Тамбовская энергосбытовая компания""";RU000A0D8NG8;1
TATN;"публичное акционерное общество ""Татнефть"" имени В.Д. Шашина";RU0009033591;1
TGKA;"Публичное акционерное общество ""Территориальная генерирующая компания №1""";RU000A0JNUD0;1
